split_point,head_time,tail_time,total_time,head_energy,tail_energy,head_power,tail_power,data_size,success,errors,avg_head_time,avg_tail_time,avg_total_time,avg_head_energy,avg_tail_energy,avg_head_power,avg_tail_power,avg_data_size
21,"[0.3463282585144043, 0.3381834030151367, 0.3554544448852539, 0.3475816249847412, 0.34546804428100586]","[0.058381080627441406, 0.04237008094787598, 0.05593466758728027, 0.04798102378845215, 0.04459428787231445]","[0.4047093391418457, 0.3805534839630127, 0.4113891124725342, 0.39556264877319336, 0.3900623321533203]","[5.6415, 5.141, 5.577, 5.3484, 5.3024]","[4.0989, 3.988, 4.0209, 4.1452, 4.0275]","[18.79, 17.42, 17.89, 17.5, 17.47]","[128.39, 128.33, 128.2, 128.33, 128.2]","[803996, 803996, 803996, 803996, 803996]",5,[],0.3466031551361084,0.04985222816467285,0.39645538330078123,5.40206,4.0561,17.814,128.29,803996
22,"[0.35825300216674805, 0.35478901863098145, 0.32799553871154785, 0.34732747077941895, 0.3477911949157715]","[0.04373025894165039, 0.07701992988586426, 0.04692983627319336, 0.04249215126037598, 0.053417205810546875]","[0.40198326110839844, 0.4318089485168457, 0.3749253749847412, 0.3898196220397949, 0.40120840072631836]","[5.7562, 5.4654, 5.2013, 5.435, 5.6222]","[3.9725, 7.1899, 4.0176, 3.9406, 4.0169]","[18.25, 17.57, 18.2, 17.73, 18.58]","[128.22, 128.3, 128.16, 128.2, 128.31]","[803996, 803996, 803996, 803996, 803996]",5,[],0.34723124504089353,0.05271787643432617,0.3999491214752197,5.49602,4.6274999999999995,18.066,128.238,803996
23,"[0.41552019119262695, 0.379169225692749, 0.3488774299621582, 0.4314289093017578, 0.3652000427246094]","[0.05277872085571289, 0.0589447021484375, 0.044603586196899414, 0.05230069160461426, 0.04236197471618652]","[0.46829891204833984, 0.4381139278411865, 0.3934810161590576, 0.48372960090637207, 0.4075620174407959]","[5.8002, 5.8675, 5.3929, 6.5663, 5.8572]","[3.9711, 4.2133, 3.968, 3.9524, 3.9267]","[18.36, 17.54, 17.62, 16.92, 18.15]","[128.56, 128.39, 128.35, 128.53, 128.39]","[803996, 803996, 803996, 803996, 803996]",5,[],0.38803915977478026,0.050197935104370116,0.4382370948791504,5.89682,4.0062999999999995,17.718,128.444,803996
24,"[0.4435253143310547, 0.44131898880004883, 0.44027280807495117, 0.43694615364074707, 0.3800320625305176]","[0.05503034591674805, 0.05349087715148926, 0.052225351333618164, 0.04471135139465332, 0.05343174934387207]","[0.49855566024780273, 0.4948098659515381, 0.49249815940856934, 0.4816575050354004, 0.43346381187438965]","[6.6958, 6.8652, 5.8853, 5.9419, 6.0091]","[3.9824, 3.9307, 3.884, 4.0335, 3.9559]","[16.8, 17.35, 17.81, 17.73, 17.88]","[128.43, 128.55, 128.59, 128.61, 128.55]","[803996, 803996, 803996, 803996, 803996]",5,[],0.4284190654754639,0.05177793502807617,0.48019700050354003,6.27946,3.9573,17.514,128.54600000000002,803996
25,"[0.4369056224822998, 0.3753793239593506, 0.4384291172027588, 0.4528789520263672, 0.4576747417449951]","[0.04295039176940918, 0.04259681701660156, 0.04516434669494629, 0.04293632507324219, 0.05133318901062012]","[0.479856014251709, 0.41797614097595215, 0.4835934638977051, 0.4958152770996094, 0.5090079307556152]","[6.7995, 6.1641, 6.7347, 7.0861, 6.9948]","[3.9364, 3.8556, 3.8246, 3.9032, 4.1602]","[17.23, 18.56, 16.96, 17.22, 17.12]","[128.87, 128.51, 128.55, 128.62, 128.62]","[803996, 803996, 803996, 803996, 803996]",5,[],0.4322535514831543,0.044996213912963864,0.4772497653961182,6.75584,3.936,17.418,128.63400000000001,803996
26,"[0.43747401237487793, 0.4450657367706299, 0.4448051452636719, 0.4621419906616211, 0.4496133327484131]","[0.041611433029174805, 0.052016258239746094, 0.054537296295166016, 0.042914628982543945, 0.04317927360534668]","[0.47908544540405273, 0.497081995010376, 0.4993424415588379, 0.505056619644165, 0.49279260635375977]","[7.2217, 6.0849, 6.337, 7.2118, 7.0964]","[3.8601, 3.9615, 3.9434, 4.0409, 3.81]","[18.2, 17.85, 18.52, 17.23, 17.35]","[128.65, 128.51, 128.58, 128.82, 129.0]","[803996, 803996, 803996, 803996, 803996]",5,[],0.44782004356384275,0.04685177803039551,0.4946718215942383,6.79036,3.92318,17.830000000000002,128.712,803996
27,"[0.46329712867736816, 0.45824193954467773, 0.4571685791015625, 0.4472229480743408, 0.45134687423706055]","[0.0460658073425293, 0.04405951499938965, 0.05815577507019043, 0.04385113716125488, 0.05427265167236328]","[0.5093629360198975, 0.5023014545440674, 0.5153243541717529, 0.4910740852355957, 0.5056195259094238]","[7.1545, 7.1612, 7.1627, 7.0379, 7.0438]","[4.092, 3.9481, 4.8107, 3.8191, 4.2185]","[16.99, 17.2, 17.54, 17.44, 17.49]","[129.11, 129.0, 128.87, 128.83, 128.79]","[803996, 803996, 803996, 803996, 803996]",5,[],0.45545549392700196,0.049280977249145506,0.5047364711761475,7.11202,4.17768,17.332,128.92000000000002,803996
28,"[0.45317983627319336, 0.4490790367126465, 0.4474673271179199, 0.45435500144958496, 0.47528719902038574]","[0.04468250274658203, 0.04275965690612793, 0.042392730712890625, 0.04196643829345703, 0.040978431701660156]","[0.4978623390197754, 0.4918386936187744, 0.48986005783081055, 0.496321439743042, 0.5162656307220459]","[7.2967, 7.0877, 7.3603, 7.4036, 7.4391]","[3.9133, 3.8692, 3.9507, 3.7962, 3.7914]","[17.7, 17.37, 18.09, 17.89, 17.63]","[129.07, 129.02, 128.94, 128.88, 129.06]","[803996, 803996, 803996, 803996, 803996]",5,[],0.4558736801147461,0.042555952072143556,0.4984296321868896,7.31748,3.86416,17.736,128.994,803996
29,"[0.5359203815460205, 0.4662506580352783, 0.45686864852905273, 0.4497718811035156, 0.4623432159423828]","[0.04718422889709473, 0.04161190986633301, 0.04503917694091797, 0.04547572135925293, 0.051786184310913086]","[0.5831046104431152, 0.5078625679016113, 0.5019078254699707, 0.49524760246276855, 0.5141294002532959]","[8.1501, 7.4691, 7.2893, 7.3741, 7.3207]","[3.7364, 3.7119, 4.0969, 3.7378, 3.8259]","[16.56, 17.62, 17.58, 18.09, 17.45]","[128.97, 129.04, 128.88, 129.02, 129.14]","[803996, 803996, 803996, 803996, 803996]",5,[],0.47423095703125,0.04621944427490234,0.5204504013061524,7.52066,3.82178,17.46,129.01,803996
30,"[0.4489254951477051, 0.4555683135986328, 0.5310745239257812, 0.48111462593078613, 0.5304553508758545]","[0.04185771942138672, 0.04412651062011719, 0.04330849647521973, 0.049353837966918945, 0.05241274833679199]","[0.4907832145690918, 0.49969482421875, 0.574383020401001, 0.5304684638977051, 0.5828680992126465]","[7.3921, 7.5005, 8.5741, 7.519, 8.3543]","[3.6972, 3.7064, 3.8078, 3.682, 3.8151]","[18.17, 18.23, 17.49, 17.31, 17.22]","[129.34, 129.27, 129.29, 129.14, 129.25]","[803996, 803996, 803996, 803996, 803996]",5,[],0.48942766189575193,0.046211862564086915,0.5356395244598389,7.868,3.7417,17.684,129.258,803996
